BATTERY,CAMERA,DESIGN,FEATURES,GENERAL,PERFORMANCE,PRICE,SCREEN,SER&ACC,STORAGE
Positive,Positive,None,Positive,Positive,None,Positive,None,Positive,None
Negative,None,None,None,Positive,None,None,None,None,None
None,None,None,Negative,None,None,None,None,None,None
Neutral,None,None,Negative,Neutral,None,None,None,None,None
Positive,None,None,None,None,Positive,None,None,Negative,None
Neutral,None,None,None,Positive,Positive,Neutral,None,Positive,None
Negative,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,Negative,None
Negative,None,None,None,None,None,None,None,None,None
Negative,None,None,None,None,Negative,None,Negative,Negative,None
None,None,None,None,Positive,None,Neutral,None,Positive,None
Positive,Positive,None,Positive,Positive,None,Neutral,Neutral,None,None
None,None,None,Negative,None,Positive,None,None,Positive,None
Positive,Neutral,None,Negative,Positive,Positive,Neutral,Positive,Positive,None
None,None,None,Negative,Negative,Negative,None,None,None,None
Negative,Positive,None,None,Positive,Neutral,None,None,None,None
None,None,None,None,Positive,Positive,None,None,Positive,None
None,None,None,Negative,None,None,None,None,None,None
None,None,None,None,None,Negative,None,None,None,None
Negative,None,None,None,None,Negative,Neutral,None,None,None
Positive,None,None,None,Positive,Positive,Neutral,None,None,None
Positive,None,None,None,None,None,None,None,None,None
None,None,None,None,None,Negative,None,None,None,None
Positive,None,Neutral,None,Positive,Positive,Negative,Positive,None,None
Positive,Positive,Positive,None,None,Positive,None,None,None,None
Positive,None,None,Positive,None,Neutral,None,Positive,Neutral,None
Positive,None,None,None,None,Positive,Positive,None,Positive,None
Positive,Negative,None,None,Negative,None,Neutral,None,None,None
None,Negative,None,None,None,Positive,None,None,None,None
Positive,None,None,None,Positive,Positive,None,None,None,None
Positive,Positive,None,Negative,Positive,Positive,Neutral,None,Negative,None
None,None,None,None,Positive,Negative,None,None,None,None
Neutral,None,Neutral,None,Positive,None,None,None,Positive,None
Negative,Negative,None,None,Negative,Negative,None,None,None,None
None,None,None,Negative,None,None,None,Negative,Neutral,None
None,None,None,Negative,None,None,Positive,None,None,None
Positive,None,None,Neutral,Positive,None,None,None,None,None
None,None,None,None,None,None,None,None,Negative,None
Positive,None,None,None,Positive,Positive,Neutral,None,None,None
None,Positive,Positive,Positive,None,None,Positive,Positive,Positive,None
Positive,Positive,None,None,Positive,Positive,None,None,None,None
Negative,Positive,None,None,None,Negative,None,Negative,Negative,None
None,None,None,Negative,None,Negative,None,None,None,None
Neutral,Neutral,Positive,None,None,Negative,None,Positive,None,None
None,None,Positive,None,None,None,None,None,Positive,None
None,None,Positive,Negative,None,Negative,None,None,None,None
Neutral,None,None,None,Negative,Positive,Positive,None,None,None
Negative,None,None,None,None,None,None,None,None,None
None,None,None,None,None,Positive,None,Negative,None,None
Positive,Positive,None,None,Positive,Positive,None,Positive,None,None
None,None,None,None,Positive,None,None,None,Positive,None
Negative,None,None,None,Positive,None,None,None,None,None
None,None,None,None,Positive,Positive,None,None,None,None
None,Negative,None,None,Negative,Negative,Neutral,None,Negative,None
Neutral,None,None,None,Positive,Positive,None,None,None,None
Negative,None,None,None,None,None,None,None,None,None
None,None,None,None,Positive,Positive,None,None,None,None
Negative,None,None,None,Positive,None,None,None,None,None
Positive,Positive,None,Positive,Positive,None,Neutral,Positive,None,None
Negative,None,None,None,Positive,Positive,None,None,Positive,None
Negative,Positive,Positive,Negative,Negative,Positive,None,None,None,None
Positive,None,None,None,Positive,Neutral,None,None,None,None
None,None,None,None,Negative,Negative,Neutral,Negative,None,None
None,None,None,Positive,Positive,Positive,None,None,None,None
None,Positive,Positive,None,Positive,None,Neutral,None,None,None
None,None,Negative,Neutral,None,None,None,None,None,None
Positive,None,None,None,Positive,Positive,Positive,None,None,None
None,None,None,Negative,None,None,None,None,None,None
Positive,None,None,None,None,Negative,None,None,None,None
Positive,None,None,Positive,Positive,None,None,None,Positive,None
None,None,None,None,Positive,Positive,Positive,None,Positive,None
