comment,n_star,BATTERY,CAMERA,DESIGN,FEATURES,GENERAL,PERFORMANCE,PRICE,SCREEN,SER&ACC,STORAGE
"Mới mua máy này Tại thegioididong thốt nốt cảm thấy ok bin trâu chụp ảnh đẹp loa nghe to bắt wf khỏe sóng ổn định, giá thành vừa với túi tiền, nhân viên tư vấn nhiệt tình",5,Positive,Positive,None,Positive,Positive,None,Positive,None,Positive,None
Pin kém còn lại miễn chê mua 8/3/2019 tình trạng pin còn 88% có ai giống tôi không,5,Negative,None,None,None,Positive,None,None,None,None,None
Sao lúc gọi điện thoại màn hình bị chấm nhỏ nháy gần camera trước vậy(lúc có lúc không),3,None,None,None,Negative,None,None,None,None,None,None
"Mọi người cập nhật phần mềm lại , nó sẽ bớt tốn pin, mình đã thử rồi, mọi thứ cũng ok, nhưng vân tay ko nhạy",3,Neutral,None,None,Negative,Neutral,None,None,None,None,None
"Mới mua Sài được 1 tháng thấy pin rất trâu, Sài bao mượt . Nhưng có 1 lỗi nhỏ là mình nghe nhạc bằng tai nghe nghe hơi lâu ko biết sao nó ko nghe được nữa.. mất rút tai nghe ra cắm vào lại thì nó mới nghe được...",5,Positive,None,None,None,None,Positive,None,None,Negative,None
"Xài tốt, rất mượt, pin trâu nếu các bạn để độ sáng vừa đủ, nhân viên nhiệt tình, vui vẻ, nói chung là tầm giá này thì máy này là quá tốt rồi",5,Neutral,None,None,None,Positive,Positive,Neutral,None,Positive,None
Mình mới xài được 7 tháng xuống 7% pin. Chả hiểu máy mới kiểu gì nữa. Dùng cơ bản lướt web cơ bản game ko chơi,1,Negative,None,None,None,None,None,None,None,None,None
"Hôm qua ngày 23/6/2020 e ra thế giới di động  mua chiếc dthoai galaxy A51 ,. Lúc đầu bên cửa hàng báo giá 7.790.00đ  được tặng phiếu mua hàng 250k, lúc thanh toán thì nhân viên lại thanh toán 7.990.000đ không có phiếu mua hàng , đi 20km xuống mua thoai ,tối về đến nhà  nhân viên mới gọi đến có xin lỗi vì sai xót và bảo mình xuống đó nhận phiếu mua hàng 250k.... chán quá, đúng là làm mất thời gian ..",2,None,None,None,None,None,None,None,None,Negative,None
"Tại sao điện thoại mới mà sạc nó nóng máy lên quá trời.  T đã tắt tất cả mạng, ứng dung, game và cấm ko cho chạy nền, cũng ko vừa sạc vừa dùng mà điện thoại nóng quá trời. Sạc 3 tiếng mới đầy",2,Negative,None,None,None,None,None,None,None,None,None
"Lúc đầu định mua samsung vào shop nhân viên tư vấn oppo a9. Thất vọng thực sự khi dùng oppo. Màn hình hiển thị tối om. Máy chơi game giật lang khó chịu vl. Sạc thì lâu, k bao giờ dungg oppo nữa.",1,Negative,None,None,None,None,Negative,None,Negative,Negative,None
Mọi thứ đều ngon trong tầm giá. Lần đầu xài Xiaomi cảm thấy rất hài lòng về chất lượng,5,None,None,None,None,Positive,None,Neutral,None,Positive,None
"Khá ổn trong tầm giá, cam đẹp, sạc nhanh, màn hình đẹp âm thanh hay rất phù hợp với người thích chơi game tuy nhiên màn hình hơi tối so với ngoài trời",5,Positive,Positive,None,Positive,Positive,None,Neutral,Neutral,None,None
"Đi thoại mượt chơi game ngon 
Âm báo thức bật maxloa luôn nghe vẫn nhỏ
Nhân viên phục vụ nhiệt tình",4,None,None,None,Negative,None,Positive,None,None,Positive,None
